Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Country_from,Country_to,Year
David Cotterill,Right Winger,18,Bristol City,League One,Wigan,Premier League,2006-2007,400000.0,3200000,England,England,2006
Mauro Boselli,Centre-Forward,25,Estudiantes,Torneo Final,Wigan,Premier League,2010-2011,7500000.0,3700000,Argentina,England,2010
Jason Koumas,Attacking Midfield,27,West Brom,Championship,Wigan,Premier League,2007-2008,2000000.0,6900000,England,England,2007
Hugo Rodallega,Centre-Forward,23,Necaxa,Liga MX Clausura,Wigan,Premier League,2008-2009,4000000.0,4800000,Mexico,England,2008
James McCarthy,Central Midfield,18,Hamilton Acad.,Premiership,Wigan,Premier League,2009-2010,1250000.0,5100000,Scotland,England,2009
Arouna Koné,Centre-Forward,28,Levante UD,LaLiga,Wigan,Premier League,2012-2013,7000000.0,3800000,Spain,England,2012
François Grenet,Right-Back,26,G. Bordeaux,Ligue 1,Derby,Premier League,2001-2002,,4190000,France,England,2001
Giorgi Kinkladze,Attacking Midfield,27,AFC Ajax,Eredivisie,Derby,Premier League,2000-2001,,5000000,Nederlands,England,2000
Bjørn Otto Bragstad,Centre-Back,29,Rosenborg BK,Eliteserien,Derby,Premier League,2000-2001,,3000000,Poland,England,2000
Danny Higginbotham,Centre-Back,21,Man Utd,Premier League,Derby,Premier League,2000-2001,,3000000,England,England,2000
Kenny Miller,Centre-Forward,27,Celtic,Premiership,Derby,Premier League,2007-2008,1250000.0,4500000,Scotland,England,2007
Robert Earnshaw,Centre-Forward,26,Norwich,Championship,Derby,Premier League,2007-2008,5300000.0,5200000,England,England,2007
Claude Davis,Centre-Back,28,Sheffield Utd.,Championship,Derby,Premier League,2007-2008,770000.0,4500000,England,England,2007
Fernando,Defensive Midfield,30,G. Bordeaux,Ligue 1,Shabab,Professional League,2011-2012,3000000.0,6000000,France,Saudi Arabia,2011
Benoît Trémoulinas,Left-Back,27,G. Bordeaux,Ligue 1,Dynamo Kyiv,Premier Liga,2013-2014,9500000.0,6500000,France,Ukraine,2013
Vitorino Antunes,Left-Back,27,Málaga CF,LaLiga,Dynamo Kyiv,Premier Liga,2014-2015,3000000.0,6000000,Spain,Ukraine,2014
Kléber,Centre-Forward,20,São Paulo, Brazil,Dynamo Kyiv,Premier Liga,2003-2004,,2000000,Brazil,Ukraine,2003
Diogo Rincón,Attacking Midfield,22,Internacional, Brazil,Dynamo Kyiv,Premier Liga,2002-2003,,4500000,Brazil,Ukraine,2002
Jerko Leko,Defensive Midfield,23,Dinamo Zagreb, Croatia,Dynamo Kyiv,Premier Liga,2003-2004,,5500000,Croatia,Ukraine,2003
Rodolfo,Centre-Back,21,Fluminense, Brazil,Dynamo Kyiv,Premier Liga,2004-2005,,2000000,Brazil,Ukraine,2004
Roberto Nanni,Centre-Forward,21,Vélez Sarsfield, Argentina,Dynamo Kyiv,Premier Liga,2003-2004,,3000000,Argentina,Ukraine,2003
Oleksandr Aliyev,Attacking Midfield,26,Loko Moscow,Premier Liga,Dynamo Kyiv,Premier Liga,2010-2011,10000000.0,8000000,Russia,Ukraine,2010
Georgi Peev,Right Midfield,21,Lok. Sofia, Bulgaria,Dynamo Kyiv,Premier Liga,2000-2001,,2000000,Bulgaria,Ukraine,2000
Goran Gavrancic,Centre-Back,22,Cukaricki, Serbia,Dynamo Kyiv,Premier Liga,2000-2001,,2000000,Serbia,Ukraine,2000
Niko Kranjcar,Attacking Midfield,27,Spurs,Premier League,Dynamo Kyiv,Premier Liga,2012-2013,7500000.0,7000000,England,Ukraine,2012
Jeremain Lens,Right Winger,25,PSV Eindhoven,Eredivisie,Dynamo Kyiv,Premier Liga,2013-2014,9000000.0,9000000,Nederlands,Ukraine,2013
Roman Eremenko,Attacking Midfield,22,Udinese Calcio,Serie A,Dynamo Kyiv,Premier Liga,2009-2010,3500000.0,5000000,Italy,Ukraine,2009
Dieumerci Mbokani,Centre-Forward,27,RSC Anderlecht,Jupiler Pro League,Dynamo Kyiv,Premier Liga,2013-2014,10000000.0,11000000,Belgium,Ukraine,2013
Brown Ideye,Centre-Forward,22,FC Sochaux,Ligue 1,Dynamo Kyiv,Premier Liga,2011-2012,6000000.0,9000000,France,Ukraine,2011
Younès Belhanda,Attacking Midfield,23,Montpellier,Ligue 1,Dynamo Kyiv,Premier Liga,2013-2014,14000000.0,10000000,France,Ukraine,2013
Goran Sablic,Centre-Back,24,Hajduk Split, Croatia,Dynamo Kyiv,Premier Liga,2003-2004,,1800000,Croatia,Ukraine,2003
Aleksandar Dragovic,Centre-Back,22,FC Basel,Super League,Dynamo Kyiv,Premier Liga,2013-2014,7000000.0,9000000,Switzerland,Ukraine,2013
Derlis González,Left Winger,21,FC Basel,Super League,Dynamo Kyiv,Premier Liga,2015-2016,3750000.0,9400000,Switzerland,Ukraine,2015
Maris Verpakovskis,Centre-Forward,24,Skonto Riga,Virsliga,Dynamo Kyiv,Premier Liga,2003-2004,,2000000,Latvia,Ukraine,2003
Sergey Kornilenko,Centre-Forward,20,Dinamo Minsk,Vysheyshaya Liga,Dynamo Kyiv,Premier Liga,2003-2004,,1500000,Belarus,Ukraine,2003
André,Centre-Forward,19,Santos FC,Série A,Dynamo Kyiv,Premier Liga,2010-2011,4000000.0,8100000,Brazil,Ukraine,2010
Rodrigo,Centre-Back,24,São Paulo,Série A,Dynamo Kyiv,Premier Liga,2004-2005,,5000000,Brazil,Ukraine,2004
Sidcley,Left-Back,25,Atlético-PR,Série A,Dynamo Kyiv,Premier Liga,2018-2019,4000000.0,5000000,Brazil,Ukraine,2018
Guilherme,Second Striker,20,Cruzeiro,Série A,Dynamo Kyiv,Premier Liga,2008-2009,8000000.0,5000000,Brazil,Ukraine,2008
Dudu,Right Midfield,19,Cruzeiro,Série A,Dynamo Kyiv,Premier Liga,2011-2012,750000.0,5000000,Brazil,Ukraine,2011
Corrêa,Defensive Midfield,25,Palmeiras,Série A,Dynamo Kyiv,Premier Liga,2006-2007,,3200000,Brazil,Ukraine,2006
Tchê Tchê,Central Midfield,25,Palmeiras,Série A,Dynamo Kyiv,Premier Liga,2018-2019,3000000.0,4800000,Brazil,Ukraine,2018
Ruslan Rotan,Central Midfield,23,Dnipro,Premier Liga,Dynamo Kyiv,Premier Liga,2005-2006,,4200000,Ukraine,Ukraine,2005
Ismaël Bangoura,Centre-Forward,22,Le Mans,Ligue 1,Dynamo Kyiv,Premier Liga,2007-2008,4500000.0,6000000,France,Ukraine,2007
Ognjen Vukojevic,Defensive Midfield,24,Dinamo Zagreb,1.HNL,Dynamo Kyiv,Premier Liga,2008-2009,5000000.0,6000000,Croatia,Ukraine,2008
Domagoj Vida,Centre-Back,23,Dinamo Zagreb,1.HNL,Dynamo Kyiv,Premier Liga,2012-2013,4000000.0,5000000,Croatia,Ukraine,2012
Danilo Silva,Centre-Back,23,Internacional,Série A,Dynamo Kyiv,Premier Liga,2009-2010,1400000.0,4000000,Brazil,Ukraine,2009
Miguel Veloso,Defensive Midfield,26,Genoa,Serie A,Dynamo Kyiv,Premier Liga,2012-2013,8000000.0,7500000,Italy,Ukraine,2012
Pape Diakhaté,Centre-Back,23,AS Nancy,Ligue 1,Dynamo Kyiv,Premier Liga,2007-2008,4000000.0,4500000,France,Ukraine,2007
Leandro Almeida,Centre-Back,22,Atlético-MG,Série A,Dynamo Kyiv,Premier Liga,2009-2010,1500000.0,4500000,Brazil,Ukraine,2009
Facundo Bertoglio,Attacking Midfield,20,Colón,Torneo Final,Dynamo Kyiv,Premier Liga,2010-2011,4000000.0,3600000,Argentina,Ukraine,2010
Raffael,Second Striker,27,Hertha BSC,2.Bundesliga,Dynamo Kyiv,Premier Liga,2012-2013,9000000.0,9000000,Germany,Ukraine,2012
Maksym Koval,Goalkeeper,17,Metalurh Z.,Premier Liga,Dynamo Kyiv,Premier Liga,2010-2011,700000.0,3100000,Ukraine,Ukraine,2010
Marco Ruben,Centre-Forward,25,Villarreal CF,LaLiga2,Dynamo Kyiv,Premier Liga,2012-2013,6000000.0,8000000,Spain,Ukraine,2012
Diego Rolan,Centre-Forward,25,G. Bordeaux,Ligue 1,Dep. La Coruña,LaLiga2,2018-2019,3500000.0,6000000,France,Spain,2018
Derlei,Centre-Forward,29,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,2004-2005,10000000.0,7500000,Portugal,Russia,2004
Maniche,Central Midfield,27,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,18000000.0,16000000,Portugal,Russia,2005
Georgios Seitaridis,Right-Back,24,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,8000000.0,10000000,Portugal,Russia,2005
Costinha,Defensive Midfield,30,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,15000000.0,4000000,Portugal,Russia,2005
Thiago Silva,Centre-Back,20,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,3500000.0,3500000,Portugal,Russia,2005
Nuno Espírito Santo,Goalkeeper,31,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,2500000.0,2500000,Portugal,Russia,2005
Danny,Attacking Midfield,21,Sporting CP,Liga NOS,Dinamo Moscow,Premier Liga,2004-2005,2250000.0,3000000,Portugal,Russia,2004
Joseph Enakarhire,Centre-Back,22,Sporting CP,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,2250000.0,6000000,Portugal,Russia,2005
Mathieu Valbuena,Left Winger,29,Marseille,Ligue 1,Dinamo Moscow,Premier Liga,2014-2015,14000000.0,7000000,France,Russia,2014
Zvjezdan Misimovic,Attacking Midfield,28,Galatasaray,Süper Lig,Dinamo Moscow,Premier Liga,2010-2011,9000000.0,4500000,Turkey,Russia,2010
Alexander Büttner,Left-Back,25,Man Utd,Premier League,Dinamo Moscow,Premier Liga,2014-2015,3500000.0,5500000,England,Russia,2014
Igor Semshov,Central Midfield,31,Zenit S-Pb,Premier Liga,Dinamo Moscow,Premier Liga,2009-2010,3500000.0,4700000,Russia,Russia,2009
William Vainqueur,Defensive Midfield,25,Standard Liège,Jupiler Pro League,Dinamo Moscow,Premier Liga,2014-2015,6000000.0,6000000,Belgium,Russia,2014
Denis Kolodin,Centre-Back,23,KS Samara,Premier Liga,Dinamo Moscow,Premier Liga,2005-2006,,2000000,Russia,Russia,2005
Ognjen Koroman,Right Winger,23,OFK Beograd, Serbia,Dinamo Moscow,Premier Liga,2002-2003,,1250000,Serbia,Russia,2002
Maksim Romashchenko,Left Midfield,28,Trabzonspor,Süper Lig,Dinamo Moscow,Premier Liga,2004-2005,2200000.0,1600000,Turkey,Russia,2004
Aleksandr Kerzhakov,Centre-Forward,25,Sevilla FC,LaLiga,Dinamo Moscow,Premier Liga,2007-2008,8000000.0,8000000,Spain,Russia,2007
Cícero,Centre-Forward,18,Braga,Liga NOS,Dinamo Moscow,Premier Liga,2004-2005,,3500000,Portugal,Russia,2004
Luís Loureiro,Defensive Midfield,28,Braga,Liga NOS,Dinamo Moscow,Premier Liga,2004-2005,2750000.0,2000000,Portugal,Russia,2004
Jorge Luís,Left-Back,29,Braga,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,1000000.0,2500000,Portugal,Russia,2005
Igor Semshov,Central Midfield,27,Torpedo Moscow,Premier Liga,Dinamo Moscow,Premier Liga,2005-2006,4000000.0,4500000,Russia,Russia,2005
Leandro Fernández,Centre-Back,22,River Plate,Torneo Final,Dinamo Moscow,Premier Liga,2005-2006,,3000000,Argentina,Russia,2005
Aleksandr Samedov,Right Winger,25,FK Moskau, Russia,Dinamo Moscow,Premier Liga,2009-2010,3800000.0,4500000,Russia,Russia,2009
Edgaras Cesnauskis,Left Midfield,25,FK Moskau, Russia,Dinamo Moscow,Premier Liga,2009-2010,3700000.0,4200000,Russia,Russia,2009
Aleksandr Kokorin,Centre-Forward,22,Anzhi,Premier Liga,Dinamo Moscow,Premier Liga,2013-2014,15000000.0,19000000,Russia,Russia,2013
Igor Denisov,Defensive Midfield,29,Anzhi,Premier Liga,Dinamo Moscow,Premier Liga,2013-2014,16000000.0,15000000,Russia,Russia,2013
Yuri Zhirkov,Left Midfield,30,Anzhi,Premier Liga,Dinamo Moscow,Premier Liga,2013-2014,11000000.0,11000000,Russia,Russia,2013
Christopher Samba,Centre-Back,29,Anzhi,Premier Liga,Dinamo Moscow,Premier Liga,2013-2014,11000000.0,10000000,Russia,Russia,2013
Vladimir Gabulov,Goalkeeper,29,Anzhi,Premier Liga,Dinamo Moscow,Premier Liga,2013-2014,6500000.0,7000000,Russia,Russia,2013
Aleksey Ionov,Right Winger,24,Anzhi,Premier Liga,Dinamo Moscow,Premier Liga,2013-2014,4000000.0,5000000,Russia,Russia,2013
Diego,Attacking Midfield,21,FC Porto,Liga NOS,Werder Bremen,1.Bundesliga,2006-2007,8000000.0,6000000,Portugal,Germany,2006
Davy Klaassen,Attacking Midfield,25,Everton,Premier League,Werder Bremen,1.Bundesliga,2018-2019,15000000.0,13500000,England,Germany,2018
Frank Verlaat,Centre-Back,32,AFC Ajax,Eredivisie,Werder Bremen,1.Bundesliga,2000-2001,,2100000,Nederlands,Germany,2000
Markus Rosenberg,Centre-Forward,24,AFC Ajax,Eredivisie,Werder Bremen,1.Bundesliga,2006-2007,4500000.0,3000000,Nederlands,Germany,2006
Eljero Elia,Left Winger,25,Juventus,Serie A,Werder Bremen,1.Bundesliga,2012-2013,5000000.0,5500000,Italy,Germany,2012
Boubacar Sanogo,Centre-Forward,24,Hamburger SV,1.Bundesliga,Werder Bremen,1.Bundesliga,2007-2008,4000000.0,4500000,Germany,Germany,2007
Mesut Özil,Attacking Midfield,19,FC Schalke 04,1.Bundesliga,Werder Bremen,1.Bundesliga,2007-2008,2500000.0,5000000,Germany,Germany,2007
Miroslav Klose,Centre-Forward,26,1.FC K'lautern,1.Bundesliga,Werder Bremen,1.Bundesliga,2004-2005,,5000000,Germany,Germany,2004
Ivica Banovic,Defensive Midfield,19,NK Zagreb, Croatia,Werder Bremen,1.Bundesliga,2000-2001,,1900000,Croatia,Germany,2000
Marko Arnautovic,Left Winger,21,FC Twente,Eredivisie,Werder Bremen,1.Bundesliga,2010-2011,6500000.0,6200000,Nederlands,Germany,2010
Torsten Frings,Defensive Midfield,28,Bayern Munich ,1.Bundesliga,Werder Bremen,1.Bundesliga,2005-2006,9000000.0,5000000,Germany,Germany,2005
Mehmet Ekici,Attacking Midfield,21,Bayern Munich ,1.Bundesliga,Werder Bremen,1.Bundesliga,2011-2012,6500000.0,5000000,Germany,Germany,2011
Max Kruse,Second Striker,28,VfL Wolfsburg,1.Bundesliga,Werder Bremen,1.Bundesliga,2016-2017,8000000.0,7500000,Germany,Germany,2016
Per Mertesacker,Centre-Back,21,Hannover 96,1.Bundesliga,Werder Bremen,1.Bundesliga,2006-2007,10000000.0,4700000,Germany,Germany,2006
Angelos Charisteas,Centre-Forward,22,Aris Saloniki,Super League,Werder Bremen,1.Bundesliga,2002-2003,,3000000,Greece,Germany,2002
Manuel Friedrich,Centre-Back,22,1.FSV Mainz 05,2.Bundesliga,Werder Bremen,1.Bundesliga,2002-2003,,2500000,Germany,Germany,2002
Yuya Osako,Second Striker,28,1. FC Köln,2.Bundesliga,Werder Bremen,1.Bundesliga,2018-2019,4500000.0,4500000,Germany,Germany,2018
Patrick Owomoyela,Right-Back,25,Arm. Bielefeld,1.Bundesliga,Werder Bremen,1.Bundesliga,2005-2006,3250000.0,2000000,Germany,Germany,2005
Wesley,Central Midfield,23,Santos FC,Série A,Werder Bremen,1.Bundesliga,2010-2011,6000000.0,7500000,Brazil,Germany,2010
Naldo,Centre-Back,22,Juventude,Série A,Werder Bremen,1.Bundesliga,2005-2006,2750000.0,2400000,Brazil,Germany,2005
Mohamed Zidan,Second Striker,23,FC Midtjylland,Superligaen,Werder Bremen,1.Bundesliga,2005-2006,3000000.0,3000000,Denmark,Germany,2005
Carlos Alberto,Attacking Midfield,22,Fluminense,Série A,Werder Bremen,1.Bundesliga,2007-2008,7500000.0,7800000,Brazil,Germany,2007
Marko Marin,Left Winger,20,Bor. M'gladbach,1.Bundesliga,Werder Bremen,1.Bundesliga,2009-2010,9000000.0,8200000,Germany,Germany,2009
Sokratis,Centre-Back,24,Genoa,Serie A,Werder Bremen,1.Bundesliga,2012-2013,10000000.0,3500000,Italy,Germany,2012
Jannik Vestergaard,Centre-Back,22,TSG Hoffenheim,1.Bundesliga,Werder Bremen,1.Bundesliga,2014-2015,3000000.0,4500000,Germany,Germany,2014
Bruno Alves,Centre-Back,28,FC Porto,Liga NOS,Zenit S-Pb,Premier Liga,2010-2011,18000000.0,22000000,Portugal,Russia,2010
Hulk,Right Winger,26,FC Porto,Liga NOS,Zenit S-Pb,Premier Liga,2012-2013,37000000.0,40000000,Portugal,Russia,2012
Axel Witsel,Central Midfield,23,Benfica,Liga NOS,Zenit S-Pb,Premier Liga,2012-2013,20000000.0,40000000,Portugal,Russia,2012
Ezequiel Garay,Centre-Back,27,Benfica,Liga NOS,Zenit S-Pb,Premier Liga,2014-2015,20000000.0,6000000,Portugal,Russia,2014
Fernando Meira,Centre-Back,30,Galatasaray,Süper Lig,Zenit S-Pb,Premier Liga,2008-2009,8500000.0,6000000,Turkey,Russia,2008
Leandro Paredes,Defensive Midfield,23,AS Roma,Serie A,Zenit S-Pb,Premier Liga,2017-2018,13000000.0,23000000,Italy,Russia,2017
Anatoliy Tymoshchuk,Defensive Midfield,27,Shakhtar D.,Premier Liga,Zenit S-Pb,Premier Liga,2006-2007,6000000.0,14500000,Ukraine,Russia,2006
Nicolas Lombaerts,Centre-Back,22,KAA Gent,Jupiler Pro League,Zenit S-Pb,Premier Liga,2007-2008,1500000.0,4000000,Belgium,Russia,2007
Danko Lazovic,Second Striker,26,PSV Eindhoven,Eredivisie,Zenit S-Pb,Premier Liga,2009-2010,5500000.0,5000000,Nederlands,Russia,2009
Aleksandar Lukovic,Centre-Back,27,Udinese Calcio,Serie A,Zenit S-Pb,Premier Liga,2010-2011,3800000.0,7000000,Italy,Russia,2010
Emanuel Mammana,Centre-Back,21,Olympique Lyon,Ligue 1,Zenit S-Pb,Premier Liga,2017-2018,7000000.0,16000000,France,Russia,2017
Danny,Attacking Midfield,25,Dinamo Moscow,Premier Liga,Zenit S-Pb,Premier Liga,2008-2009,7750000.0,30000000,Russia,Russia,2008
Igor Semshov,Central Midfield,30,Dinamo Moscow,Premier Liga,Zenit S-Pb,Premier Liga,2008-2009,6000000.0,5000000,Russia,Russia,2008
Aleksandr Kerzhakov,Centre-Forward,27,Dinamo Moscow,Premier Liga,Zenit S-Pb,Premier Liga,2009-2010,8500000.0,6500000,Russia,Russia,2009
Matías Kranevitter,Defensive Midfield,24,Atlético Madrid,LaLiga,Zenit S-Pb,Premier Liga,2017-2018,6000000.0,8000000,Spain,Russia,2017
Vladimir Bystrov,Right Midfield,25,Spartak Moscow,Premier Liga,Zenit S-Pb,Premier Liga,2009-2010,6300000.0,9000000,Russia,Russia,2009
Vladislav Radimov,Central Midfield,27,KS Samara,Premier Liga,Zenit S-Pb,Premier Liga,2002-2003,,1500000,Russia,Russia,2002
Aleksandr Anyukov,Right-Back,22,KS Samara,Premier Liga,Zenit S-Pb,Premier Liga,2005-2006,,3000000,Russia,Russia,2005
Fatih Tekke,Centre-Forward,28,Trabzonspor,Süper Lig,Zenit S-Pb,Premier Liga,2006-2007,8250000.0,7500000,Turkey,Russia,2006
Javi García,Defensive Midfield,27,Man City,Premier League,Zenit S-Pb,Premier Liga,2014-2015,12000000.0,16800000,England,Russia,2014
Hernani,Defensive Midfield,22,Atlético-PR,Série A,Zenit S-Pb,Premier Liga,2016-2017,1750000.0,8000000,Brazil,Russia,2016
Erik Hagen,Centre-Back,29,Valerenga,Eliteserien,Zenit S-Pb,Premier Liga,2004-2005,2400000.0,2400000,Poland,Russia,2004
Alejandro Domínguez,Attacking Midfield,25,Rubin Kazan,Premier Liga,Zenit S-Pb,Premier Liga,2006-2007,7000000.0,7000000,Russia,Russia,2006
Aleksandr Bukharov,Centre-Forward,25,Rubin Kazan,Premier Liga,Zenit S-Pb,Premier Liga,2010-2011,10000000.0,12000000,Russia,Russia,2010
José Salomón Rondón,Centre-Forward,24,Rubin Kazan,Premier Liga,Zenit S-Pb,Premier Liga,2013-2014,11000000.0,18000000,Russia,Russia,2013
Cristian Ansaldi,Left-Back,26,Rubin Kazan,Premier Liga,Zenit S-Pb,Premier Liga,2013-2014,10000000.0,8000000,Russia,Russia,2013
Pavel Pogrebnyak,Centre-Forward,23,Tom Tomsk,Premier Liga,Zenit S-Pb,Premier Liga,2006-2007,2500000.0,5000000,Russia,Russia,2006
Luís Neto,Centre-Back,24,Siena,Serie A,Zenit S-Pb,Premier Liga,2012-2013,6000000.0,6500000,Italy,Russia,2012
Giuliano,Attacking Midfield,26,Grêmio,Série A,Zenit S-Pb,Premier Liga,2016-2017,5000000.0,7000000,Brazil,Russia,2016
Domenico Criscito,Left-Back,24,Genoa,Serie A,Zenit S-Pb,Premier Liga,2011-2012,12500000.0,15000000,Italy,Russia,2011
Sébastien Puygrenier,Centre-Back,26,AS Nancy,Ligue 1,Zenit S-Pb,Premier Liga,2008-2009,7500000.0,6000000,France,Russia,2008
Alessandro Rosina,Second Striker,25,Torino,Serie B,Zenit S-Pb,Premier Liga,2009-2010,11000000.0,7300000,Italy,Russia,2009
Igor Smolnikov,Right-Back,25,Krasnodar,Premier Liga,Zenit S-Pb,Premier Liga,2013-2014,3500000.0,6000000,Russia,Russia,2013
Oleg Shatov,Central Midfield,23,Anzhi,Premier Liga,Zenit S-Pb,Premier Liga,2013-2014,5000000.0,7000000,Russia,Russia,2013
Sebastián Driussi,Centre-Forward,21,River Plate,Primera División,Zenit S-Pb,Premier Liga,2017-2018,8000000.0,15000000,Argentina,Russia,2017
Emiliano Rigoni,Right Winger,24,Independiente,Primera División,Zenit S-Pb,Premier Liga,2017-2018,7000000.0,9000000,Argentina,Russia,2017
Miha Mevlja,Centre-Back,27,Rostov,Premier Liga,Zenit S-Pb,Premier Liga,2017-2018,4000000.0,8000000,Russia,Russia,2017
Josef,Defensive Midfield,23,FC Porto,Liga NOS,Grêmio,Série A,2012-2013,2500000.0,3750000,Portugal,Brazil,2012
Marcelo Moreno,Centre-Forward,24,Shakhtar D.,Premier Liga,Grêmio,Série A,2011-2012,2800000.0,6000000,Ukraine,Brazil,2011
Giuliano,Attacking Midfield,24,Dnipro,Premier Liga,Grêmio,Série A,2014-2015,8000000.0,6000000,Ukraine,Brazil,2014
Steven Defour,Central Midfield,26,FC Porto,Liga NOS,RSC Anderlecht,Jupiler Pro League,2014-2015,6000000.0,6000000,Portugal,Belgium,2014
Moubarak Boussoufa,Attacking Midfield,21,KAA Gent,Jupiler Pro League,RSC Anderlecht,Jupiler Pro League,2006-2007,4000000.0,4000000,Belgium,Belgium,2006
Clayton Zane,Centre-Forward,24,Lilleström SK,Eliteserien,RSC Anderlecht,Jupiler Pro League,2002-2003,,2250000,Poland,Belgium,2002
Nenad Jestrovic,Centre-Forward,25,Exc. Mouscron,Jupiler Pro League,RSC Anderlecht,Jupiler Pro League,2001-2002,,2000000,Belgium,Belgium,2001
Michal Zewlakow,Centre-Back,26,Exc. Mouscron,Jupiler Pro League,RSC Anderlecht,Jupiler Pro League,2002-2003,,1200000,Belgium,Belgium,2002
Hannu Tihinen,Centre-Back,26,Viking FK,Eliteserien,RSC Anderlecht,Jupiler Pro League,2002-2003,,1300000,Poland,Belgium,2002
Aleksandar Mitrovic,Centre-Forward,18,Partizan,SuperLiga,RSC Anderlecht,Jupiler Pro League,2013-2014,3000000.0,5000000,Serbia,Belgium,2013
Nicolás Frutos,Centre-Forward,24,Independiente,Torneo Final,RSC Anderlecht,Jupiler Pro League,2005-2006,3000000.0,2500000,Argentina,Belgium,2005
Lucas Biglia,Defensive Midfield,20,Independiente,Torneo Final,RSC Anderlecht,Jupiler Pro League,2006-2007,4000000.0,3000000,Argentina,Belgium,2006
Nicolae Stanciu,Attacking Midfield,23,FCS Bucharest,Liga 1 - Championship group,RSC Anderlecht,Jupiler Pro League,2016-2017,3500000.0,8200000,Romania,Belgium,2016
Maicon,Centre-Back,27,FC Porto,Liga NOS,São Paulo,Série A,2016-2017,8000000.0,12000000,Portugal,Brazil,2016
Alan Kardec,Centre-Forward,25,Benfica,Liga NOS,São Paulo,Série A,2014-2015,1500000.0,4500000,Portugal,Brazil,2014
Jádson,Attacking Midfield,28,Shakhtar D.,Premier Liga,São Paulo,Série A,2011-2012,7500000.0,4000000,Ukraine,Brazil,2011
Luís Fabiano,Centre-Forward,30,Sevilla FC,LaLiga,São Paulo,Série A,2010-2011,8000000.0,7600000,Spain,Brazil,2010
Ganso,Attacking Midfield,22,Santos FC,Série A,São Paulo,Série A,2012-2013,18000000.0,9100000,Brazil,Brazil,2012
Ricardo Centurión,Left Winger,22,Racing Club,Primera División,São Paulo,Série A,2014-2015,4000000.0,4200000,Argentina,Brazil,2014
Francisco Fonseca,Centre-Forward,27,Benfica,Liga NOS,Tigres UANL,Liga MX Clausura,2006-2007,2500000.0,3800000,Portugal,Mexico,2006
Danilinho,Right Winger,23,Chiapas FC,Liga MX Clausura,Tigres UANL,Liga MX Clausura,2010-2011,5000000.0,3500000,Mexico,Mexico,2010
Damián Álvarez,Left Winger,32,CF Pachuca,Liga MX Clausura,Tigres UANL,Liga MX Clausura,2010-2011,2300000.0,3900000,Mexico,Mexico,2010
Jürgen Damm,Right Winger,22,CF Pachuca,Liga MX Clausura,Tigres UANL,Liga MX Clausura,2015-2016,1200000.0,8850000,Mexico,Mexico,2015
Ismael Sosa,Right Winger,29,UNAM Pumas,Liga MX Clausura,Tigres UANL,Liga MX Clausura,2016-2017,3000000.0,7000000,Mexico,Mexico,2016
Éverton,Left Winger,21,Desp. Brasil, Brazil,Tigres UANL,Liga MX Clausura,2009-2010,1300000.0,4000000,Brazil,Mexico,2009
Andy Delort,Centre-Forward,24,SM Caen,Ligue 1,Tigres UANL,Liga MX Clausura,2016-2017,5500000.0,8000000,France,Mexico,2016
Konstantinos Katsouranis,Defensive Midfield,30,Benfica,Liga NOS,Panathinaikos,Super League,2009-2010,7000000.0,3500000,Portugal,Greece,2009
Anthony Seric,Left-Back,26,Lazio,Serie A,Panathinaikos,Super League,2005-2006,600000.0,2000000,Italy,Greece,2005
Djibril Cissé,Centre-Forward,27,Marseille,Ligue 1,Panathinaikos,Super League,2009-2010,10500000.0,8000000,France,Greece,2009
Sebastián Leto,Left Winger,22,Liverpool,Premier League,Panathinaikos,Super League,2009-2010,3000000.0,4000000,England,Greece,2009
Emmanuel Olisadebe,Centre-Forward,22,Pol. Warsaw,Ekstraklasa,Panathinaikos,Super League,2000-2001,,3000000,Poland,Greece,2000
Joonas Kolkka,Right Winger,26,PSV Eindhoven,Eredivisie,Panathinaikos,Super League,2001-2002,,2300000,Nederlands,Greece,2001
Michalis Konstantinou,Centre-Forward,23,Iraklis,Super League,Panathinaikos,Super League,2001-2002,,15000000,Greece,Greece,2001
Marcelo Mattos,Defensive Midfield,24,Corinthians,Série B,Panathinaikos,Super League,2008-2009,5000000.0,3800000,Brazil,Greece,2008
Bruno César,Left Midfield,24,Benfica,Liga NOS,Ahli,Professional League,2012-2013,9000000.0,5000000,Portugal,Saudi Arabia,2012
Djaniny,Centre-Forward,27,Santos Laguna,Liga MX Apertura,Ahli,Professional League,2018-2019,5000000.0,10240000,Mexico,Saudi Arabia,2018
Lorenzo Melgarejo,Left Winger,23,Benfica,Liga NOS,Kuban Krasnodar,Premier Liga,2013-2014,6500000.0,5000000,Portugal,Russia,2013
Ibrahima Baldé,Centre-Forward,23,CA Osasuna,LaLiga,Kuban Krasnodar,Premier Liga,2012-2013,2500000.0,4000000,Spain,Russia,2012
