Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Country_from,Country_to,Year
Nacho Monreal,Left-Back,25,CA Osasuna,LaLiga,Málaga CF,LaLiga,2011-2012,7000000.0,6000000,Spain,Spain,2011
Sebastián Fernández,Second Striker,25,CA Banfield,Torneo Final,Málaga CF,LaLiga,2010-2011,2500000.0,3600000,Argentina,Spain,2010
José Salomón Rondón,Centre-Forward,20,UD Las Palmas,LaLiga2,Málaga CF,LaLiga,2010-2011,1000000.0,3500000,Spain,Spain,2010
Diego Buonanotte,Attacking Midfield,23,River Plate,Primera B Nacional,Málaga CF,LaLiga,2011-2012,2700000.0,4500000,Argentina,Spain,2011
Isco,Attacking Midfield,19,Valencia B,2ª B - Grupo III,Málaga CF,LaLiga,2011-2012,,6000000,Spain,Spain,2011
Simão,Left Winger,21,FC Barcelona,LaLiga,Benfica, Portugal,2001-2002,,12000000,Spain,Portugal,2001
Mantorras,Centre-Forward,19,Alverca, Portugal,Benfica, Portugal,2001-2002,,5000000,Portugal,Portugal,2001
Tiago,Central Midfield,20,Braga, Portugal,Benfica, Portugal,2001-2002,,2500000,Portugal,Portugal,2001
Emmanuel Petit,Defensive Midfield,30,FC Barcelona,LaLiga,Chelsea,Premier League,2001-2002,,11500000,Spain,England,2001
Boudewijn Zenden,Left Winger,24,FC Barcelona,LaLiga,Chelsea,Premier League,2001-2002,,8000000,Spain,England,2001
Juliano Belletti,Right-Back,31,FC Barcelona,LaLiga,Chelsea,Premier League,2007-2008,4500000.0,5500000,Spain,England,2007
Deco,Attacking Midfield,30,FC Barcelona,LaLiga,Chelsea,Premier League,2008-2009,18000000.0,10000000,Spain,England,2008
Cesc Fàbregas,Central Midfield,27,FC Barcelona,LaLiga,Chelsea,Premier League,2014-2015,50000000.0,33000000,Spain,England,2014
Pedro,Left Winger,28,FC Barcelona,LaLiga,Chelsea,Premier League,2015-2016,20000000.0,27000000,Spain,England,2015
Mario Stanic,Right Winger,28,Parma,Serie A,Chelsea,Premier League,2000-2001,,8400000,Italy,England,2000
Adrian Mutu,Centre-Forward,24,Parma,Serie A,Chelsea,Premier League,2003-2004,,19000000,Italy,England,2003
Ashley Cole,Left-Back,25,Arsenal,Premier League,Chelsea,Premier League,2006-2007,17000000.0,7400000,England,England,2006
Olivier Giroud,Centre-Forward,31,Arsenal,Premier League,Chelsea,Premier League,2017-2018,20000000.0,17000000,England,England,2017
Juan Cuadrado,Right Winger,26,Fiorentina,Serie A,Chelsea,Premier League,2014-2015,32000000.0,31000000,Italy,England,2014
Marcos Alonso,Left-Back,25,Fiorentina,Serie A,Chelsea,Premier League,2016-2017,9000000.0,23000000,Italy,England,2016
Claude Makélélé,Defensive Midfield,30,Real Madrid,LaLiga,Chelsea,Premier League,2003-2004,,20000000,Spain,England,2003
Njitap Geremi,Right-Back,24,Real Madrid,LaLiga,Chelsea,Premier League,2003-2004,,10000000,Spain,England,2003
Álvaro Morata,Centre-Forward,24,Real Madrid,LaLiga,Chelsea,Premier League,2017-2018,40000000.0,66000000,Spain,England,2017
Frank Lampard,Central Midfield,23,West Ham,Premier League,Chelsea,Premier League,2001-2002,,16000000,England,England,2001
Slavisa Jokanovic,Defensive Midfield,32,Dep. La Coruña,LaLiga,Chelsea,Premier League,2000-2001,,1900000,Spain,England,2000
Tiemoué Bakayoko,Defensive Midfield,22,Monaco,Ligue 1,Chelsea,Premier League,2017-2018,16000000.0,40000000,France,England,2017
Juan Mata,Attacking Midfield,23,Valencia CF,LaLiga,Chelsea,Premier League,2011-2012,26000000.0,26700000,Spain,England,2011
Jimmy Floyd Hasselbaink,Centre-Forward,28,Atlético Madrid,LaLiga2,Chelsea,Premier League,2000-2001,,22500000,Spain,England,2000
Petr Cech,Goalkeeper,22,Stade Rennais,Ligue 1,Chelsea,Premier League,2004-2005,,13000000,France,England,2004
André Schürrle,Left Winger,22,Bay. Leverkusen,1.Bundesliga,Chelsea,Premier League,2013-2014,25000000.0,22000000,Germany,England,2013
Hernán Crespo,Centre-Forward,28,Inter,Serie A,Chelsea,Premier League,2003-2004,,26000000,Italy,England,2003
Aleksey Smertin,Defensive Midfield,28,G. Bordeaux,Ligue 1,Chelsea,Premier League,2003-2004,,5500000,France,England,2003
Ricardo Carvalho,Centre-Back,26,FC Porto,Liga NOS,Chelsea,Premier League,2004-2005,,30000000,Portugal,England,2004
Paulo Ferreira,Right-Back,25,FC Porto,Liga NOS,Chelsea,Premier League,2004-2005,,20000000,Portugal,England,2004
Bosingwa,Right-Back,25,FC Porto,Liga NOS,Chelsea,Premier League,2008-2009,17000000.0,20500000,Portugal,England,2008
Tiago,Central Midfield,23,Benfica,Liga NOS,Chelsea,Premier League,2004-2005,,15000000,Portugal,England,2004
David Luiz,Centre-Back,23,Benfica,Liga NOS,Chelsea,Premier League,2010-2011,14000000.0,25000000,Portugal,England,2010
Ramires,Central Midfield,23,Benfica,Liga NOS,Chelsea,Premier League,2010-2011,14000000.0,22000000,Portugal,England,2010
Nemanja Matic,Defensive Midfield,25,Benfica,Liga NOS,Chelsea,Premier League,2013-2014,27000000.0,25000000,Portugal,England,2013
Ross Barkley,Attacking Midfield,24,Everton,Premier League,Chelsea,Premier League,2017-2018,25000000.0,16900000,England,England,2017
Jesper Grönkjaer,Left Winger,23,AFC Ajax,Eredivisie,Chelsea,Premier League,2000-2001,,11850000,Nederlands,England,2000
William Gallas,Centre-Back,23,Marseille,Ligue 1,Chelsea,Premier League,2001-2002,,9300000,France,England,2001
Didier Drogba,Centre-Forward,26,Marseille,Ligue 1,Chelsea,Premier League,2004-2005,,38500000,France,England,2004
César Azpilicueta,Right-Back,23,Marseille,Ligue 1,Chelsea,Premier League,2012-2013,7500000.0,8800000,France,England,2012
Michy Batshuayi,Centre-Forward,22,Marseille,Ligue 1,Chelsea,Premier League,2016-2017,15000000.0,39000000,France,England,2016
N'Golo Kanté,Defensive Midfield,25,Leicester,Premier League,Chelsea,Premier League,2016-2017,20000000.0,35800000,England,England,2016
Danny Drinkwater,Central Midfield,27,Leicester,Premier League,Chelsea,Premier League,2017-2018,9000000.0,37900000,England,England,2017
Salomon Kalou,Left Winger,20,Feyenoord,Eredivisie,Chelsea,Premier League,2006-2007,8500000.0,4000000,Nederlands,England,2006
